BVAP_SM_few_changes,BVAP_SM_most_changes,BVAP_dems,BVAP_enacted,BVAP_gop_bell2,BVAP_gop_jones,BVAP_new_VA,BVAP_reform,VAP_SM_few_changes,VAP_SM_most_changes,VAP_dems,VAP_enacted,VAP_gop_bell2,VAP_gop_jones,VAP_new_VA,VAP_reform,district_no,prop_BVAP_SM_few_changes,prop_BVAP_SM_most_changes,prop_BVAP_dems,prop_BVAP_enacted,prop_BVAP_gop_bell2,prop_BVAP_gop_jones,prop_BVAP_new_VA,prop_BVAP_reform,status
31719.000,28750.000,31719.000,36286.000,34080.000,31719.000,33654.000,28262.000,61923.000,61179.000,61923.000,61404.000,62262.000,61924.000,80963.000,61344.000,63,0.512,0.470,0.512,0.591,0.547,0.512,0.416,0.461,Ruled unconstitutional as enacted
33752.000,33752.000,32216.000,34261.000,33202.000,32216.000,35183.000,27339.000,62533.000,62533.000,61627.000,62538.000,61532.000,61627.000,63096.000,61393.000,69,0.540,0.540,0.523,0.548,0.540,0.523,0.558,0.445,Ruled unconstitutional as enacted
31167.000,31167.000,32250.000,32840.000,36272.000,32250.000,31249.000,26329.000,60007.000,60007.000,60611.000,58654.000,59060.000,60611.000,59269.000,58824.000,70,0.519,0.519,0.532,0.560,0.614,0.532,0.527,0.448,Ruled unconstitutional as enacted
35499.000,35499.000,33992.000,36338.000,36686.000,33992.000,33661.000,36948.000,66317.000,66317.000,66708.000,66230.000,65561.000,66708.000,66023.000,65287.000,71,0.535,0.535,0.510,0.549,0.560,0.510,0.510,0.566,Ruled unconstitutional as enacted
32549.000,32549.000,29558.000,34630.000,26756.000,29558.000,31337.000,26659.000,60215.000,60215.000,60286.000,61238.000,60800.000,60286.000,60265.000,63714.000,74,0.541,0.541,0.490,0.565,0.440,0.490,0.520,0.418,Ruled unconstitutional as enacted
27157.000,24210.000,27777.000,33854.000,27178.000,27948.000,26706.000,28355.000,58243.000,61722.000,58394.000,58032.000,58629.000,59482.000,58727.000,66129.000,77,0.466,0.392,0.476,0.583,0.464,0.470,0.455,0.429,Ruled unconstitutional as enacted
31052.000,31052.000,31335.000,34051.000,34584.000,34994.000,29657.000,26208.000,60822.000,60822.000,62904.000,60871.000,81875.000,81391.000,61222.000,67908.000,80,0.511,0.511,0.498,0.559,0.422,0.430,0.484,0.386,Ruled unconstitutional as enacted
38967.000,38967.000,36550.000,33578.000,31676.000,31904.000,31878.000,26919.000,81446.000,81446.000,81789.000,61070.000,62172.000,61606.000,60669.000,58544.000,89,0.478,0.478,0.447,0.550,0.509,0.518,0.525,0.460,Ruled unconstitutional as enacted
29392.000,25473.000,32533.000,34746.000,36100.000,33822.000,31179.000,27920.000,60162.000,61389.000,65965.000,65439.000,66440.000,68877.000,59836.000,62292.000,90,0.489,0.415,0.493,0.531,0.543,0.491,0.521,0.448,Ruled unconstitutional as enacted
32865.000,32865.000,35181.000,36870.000,33534.000,35181.000,33263.000,30264.000,61655.000,61655.000,62019.000,61309.000,61294.000,62019.000,62782.000,62306.000,92,0.533,0.533,0.567,0.601,0.547,0.567,0.530,0.486,Ruled unconstitutional as enacted
28551.000,28373.000,30913.000,35028.000,34079.000,31603.000,28373.000,27358.000,60749.000,60526.000,59779.000,59017.000,60033.000,58569.000,60526.000,62265.000,95,0.470,0.469,0.517,0.594,0.568,0.540,0.469,0.439,Ruled unconstitutional as enacted
10825.000,10754.000,15023.000,10825.000,10737.000,9278.000,12397.000,10041.000,60617.000,59716.000,63943.000,60617.000,59213.000,60053.000,61036.000,69735.000,27,0.179,0.180,0.235,0.179,0.181,0.154,0.203,0.144,Adjacent to a district ruled unconstitutional
12135.000,12321.000,11309.000,12135.000,12289.000,11467.000,24658.000,12272.000,75566.000,78872.000,76928.000,75566.000,79864.000,79812.000,156529.000,81511.000,55,0.161,0.156,0.147,0.161,0.154,0.144,0.158,0.151,Adjacent to a district ruled unconstitutional
43216.000,43392.000,42523.000,43216.000,43474.000,43380.000,38253.000,42381.000,164770.000,168012.000,158627.000,164767.000,168355.000,166531.000,109052.000,143885.000,61,0.262,0.258,0.268,0.262,0.258,0.260,0.351,0.295,Adjacent to a district ruled unconstitutional
17338.000,16127.000,19765.000,14785.000,15522.000,16844.000,15774.000,14470.000,60097.000,60013.000,59851.000,61022.000,61791.000,60508.000,60994.000,59209.000,62,0.289,0.269,0.330,0.242,0.251,0.278,0.259,0.244,Adjacent to a district ruled unconstitutional
15501.000,17241.000,15501.000,15501.000,21010.000,16413.000,18035.000,15848.000,71055.000,70460.000,71055.000,71055.000,68602.000,69292.000,70451.000,70445.000,64,0.218,0.245,0.218,0.218,0.306,0.237,0.256,0.225,Adjacent to a district ruled unconstitutional
15145.000,19357.000,8921.000,9259.000,11932.000,13944.000,11469.000,16625.000,59477.000,60680.000,61685.000,58829.000,59449.000,59555.000,59331.000,72157.000,66,0.255,0.319,0.145,0.157,0.201,0.234,0.193,0.230,Adjacent to a district ruled unconstitutional
4597.000,4492.000,10300.000,4597.000,7100.000,9339.000,5853.000,7741.000,66401.000,64070.000,73338.000,66401.000,64015.000,65369.000,69839.000,67332.000,68,0.069,0.070,0.140,0.069,0.111,0.143,0.084,0.115,Adjacent to a district ruled unconstitutional
