district_no,status,Total_Pers,White,Black,AIAN,Asian,HawPI,Other,Multi,Total_Hisp,Voting_Age,VAP_White,VAP_Black,VAP_AIAN,VAP_Asian,VAP_HawPI,VAP_Other,VAP_Multi,VAP_Hispan,P_REP_16_x,P_DEM_16_x,P_TOT_16_x,P_HC_16_x,P_BS_16_x,P_DTOT_16_,P_DT_16_x,P_MR_16_x,P_TC_16_x,P_JK_16_x,P_BC_16_x,P_RTOT_16_,G_REP_17_x,G_DEM_17_x,G_TOT_17_x,G_RN_17_x,G_TP_17_x,G_DTOT_17_,G_EG_17_x,G_CS_17_x,G_FW_17_x,G_RTOT_17_,LG_REP_17_,LG_DEM_17_,LG_TOT_17_,LG_JF_17_x,LG_SP_17_x,LG_GR_17_x,LG_DTOT_17,LG_JV_17_x,LG_BR_17_x,LG_GD_17_x,LG_RTOT_17,AG_REP_17_,AG_DEM_17_,AG_TOT_17_
27,Adjacent to a district ruled unconstitutional,79481,50031,21663,615,3235,77,3146,714,5939,59001,39009,14823,451,2283,51,2021,363,3784,14473.17643,14433.82089,28908.98131,4738.970023,2344.901611,7080.887642,3194.200379,2899.323457,1990.942513,505.7039671,543.7419135,9129.936242,9492.226259,11462.71605,20955.93431,2395.653146,1960.094844,4355.74799,1425.114973,1468.156861,361.7674382,3255.039273,9853.997804,11303.8446,21158.8344,2261.923562,1393.240553,568.6635117,4223.827626,1378.24223,1501.009547,338.7956381,3217.055419,9883.063602,11255.78217,21138.84577
55,Adjacent to a district ruled unconstitutional,79987,63129,12078,611,3148,50,616,355,1905,58583,46514,9022,413,2037,27,373,197,1186,23325.07963,14783.47585,38099.48365,4045.840045,1967.534306,6012.404686,4937.49435,4034.402058,2751.294052,840.5364019,834.5304385,13397.23802,15783.11495,10913.17624,26700.34514,2383.8035,1709.272623,4091.140853,2478.271652,2343.757777,474.9306422,5297.99746,16333.46683,10619.29662,26949.79475,2063.690622,1404.401937,476.0036989,3935.982555,2131.574277,2469.81912,622.6758278,5213.145143,16252.73845,10694.29302,26946.04278
61,Adjacent to a district ruled unconstitutional,79792,50089,27384,537,422,30,1030,300,2085,63280,40447,21215,411,293,18,699,197,1421,21888.37459,14537.17972,36425.20999,4212.95386,1069.063742,5280.124372,4562.864788,2096.06089,1657.039821,321.7618072,728.9982597,9369.665394,14314.76211,8820.794181,23135.43488,1588.784131,1773.30647,3362.762016,1648.802672,1740.703873,290.8540566,3679.096461,14529.50487,8641.5348,23173.54485,1846.287167,913.1631025,487.3666317,3236.732827,1308.213054,1752.577183,516.7907723,3573.973439,14469.85084,8689.725708,23162.79494
62,Adjacent to a district ruled unconstitutional,79511,42904,27917,1216,2169,172,4338,795,8302,59851,33867,20006,945,1633,105,2873,422,5451,13117.9615,13734.86607,26817.07312,3723.515754,1296.351585,5021.867339,3005.067715,1511.317057,1158.546745,264.2423475,408.1556848,6345.32955,8339.903707,8658.193406,16995.21594,1793.092976,1294.039099,3083.601398,948.6862222,1190.629674,264.474188,2404.849495,8633.325078,8496.213331,17126.65917,1770.501885,771.8615231,453.9268006,2995.288266,996.943784,1061.927137,316.1471022,2377.425992,8546.375615,8565.777646,17104.74141
63,Ruled unconstitutional as enacted,79859,35843,41086,417,931,44,1062,476,2404,61631,27647,31930,316,664,29,713,332,1581,15325.96849,22777.7277,38113.33325,7407.439929,1820.553301,9227.460653,3408.760871,2037.26048,1372.622565,350.9989815,448.0337994,7621.911956,9971.904845,14424.43291,24392.12056,5064.408369,2166.140027,7228.065604,1079.217287,1386.397779,273.9919817,2737.819041,10265.68906,14249.34451,24514.22813,4722.92601,1442.59535,849.906352,7016.413362,1039.13561,1320.281109,333.6085964,2699.416667,10211.0323,14262.79715,24472.4744
64,Adjacent to a district ruled unconstitutional,79262,57100,19728,563,886,55,563,367,1582,61722,45123,14961,422,628,36,347,205,975,26923.66876,18994.01788,45931.8711,5792.347886,1870.822093,7663.116299,5525.559596,3569.455871,2046.407683,625.9792027,867.136614,12635.59153,17990.00047,13808.47864,31801.54281,3993.628206,1755.983944,5755.332459,2822.854684,2722.046482,1381.488451,6921.953125,18655.04277,13285.36485,31947.89407,3310.389564,1502.469918,774.8213791,5590.77807,2752.320032,2907.317553,1110.191699,6773.433527,18436.58118,13507.21906,31945.90825
66,Adjacent to a district ruled unconstitutional,79477,61500,13278,528,2478,74,1137,482,3094,59412,47448,8827,369,1782,57,693,236,1889,20718.14148,12913.43305,33628.57452,3858.82838,1857.708143,5716.536523,5007.977449,3961.070463,2349.524659,668.7974312,732.4898978,12719.8599,14667.36063,9677.990592,24346.35122,2106.222047,1516.340242,3622.562288,2436.289226,2130.759019,413.5107409,4978.558986,15075.81934,9440.26874,24515.08808,1875.09818,1148.003034,482.5752389,3503.676453,2175.437305,2027.41254,707.4691653,4908.31901,14910.47297,9593.336523,24503.80949
68,Adjacent to a district ruled unconstitutional,79480,60921,13620,391,2692,49,1380,427,3480,63868,50043,10196,308,2046,34,973,268,2445,16568.76068,25115.7775,41699.15389,5930.139509,4500.526364,10430.64986,3355.244749,6548.299825,1935.106421,1939.148298,527.7095892,14305.48487,13753.5935,20602.1719,34331.31177,6075.683903,3914.180532,9989.947221,2771.73379,1383.525885,753.3818347,4908.882303,14527.72459,20059.59702,34570.371,4537.006197,3776.818014,1094.478102,9407.26092,2412.278245,1805.057283,600.8568548,4833.563232,14781.19297,19807.9392,34575.0769
69,Ruled unconstitutional as enacted,79444,25991,44306,506,1434,87,6373,747,9626,61627,22375,32474,401,1231,65,4563,518,6806,5917.637383,28381.28846,34298.25097,8116.939691,4516.328266,12633.26796,1211.388073,1406.115601,630.1235439,395.6370143,236.1342295,3879.398462,3968.223491,19477.95656,23456.30157,4597.384773,4248.992347,8849.294334,637.3029252,538.5561894,163.8686789,1337.26148,4228.255411,19394.4995,23631.76898,4490.024032,2799.579793,1135.717525,8426.477345,584.5695124,575.5077674,161.7474077,1315.730498,4294.638952,19323.02291,23621.71713
70,Ruled unconstitutional as enacted,80662,28589,45478,710,1288,88,3738,771,6099,60611,23626,32450,530,994,63,2467,481,3971,9208.470856,25419.46374,34622.9346,9772.876744,2694.934376,12467.81112,2280.850225,1387.567189,1056.646277,246.0077675,329.5305731,5300.602031,6136.675104,18789.40565,24932.08076,4936.141371,3856.712072,8790.853443,775.2827622,975.8205454,209.0924055,1957.195713,6376.853534,18696.6665,25078.52003,5098.439029,2227.674562,1224.212886,8549.326477,863.2011754,872.9887119,218.0049936,1949.194881,6417.677045,18653.92901,25076.60606
