district_no,status,F18_POP,F_DEVIATIO,DEVIATION,NH18_BLK,POPULATION,F_NH18_BLK,F_LG_DEM_1,F_LG_GR_17,F_LG_JF_17,F_LG_REP_1,F_LG_SP_17,F_P_BS_16_,F_P_DEM_16,F_P_HC_16_,F_P_REP_16,LG_DEM_1_1,LG_DTOT__1,LG_GR_17_Y,LG_JF_17_Y,LG_REP_1_1,LG_SP_17_Y,LG_TOT_1_1,P_BS_16_X,P_DEM_16_X,P_DTOT_16_,P_HC_16_X,P_REP_16_X,P_TOT_16_X,P_REP_16_x,P_DEM_16_x,P_TOT_16_x,P_HC_16_x,P_BS_16_x,P_DT_16_x,P_MR_16_x,P_TC_16_x,P_JK_16_x,P_BC_16_x,P_RTOT_16_,G_REP_17_x,G_DEM_17_x,G_TOT_17_x,G_RN_17_x,G_TP_17_x,G_DTOT_17_,G_EG_17_x,G_CS_17_x,G_FW_17_x,G_RTOT_17_,LG_REP_17_,LG_DEM_17_,LG_TOT_17_,LG_JF_17_x,LG_SP_17_x,LG_GR_17_x,LG_DTOT_17,LG_JV_17_x,LG_BR_17_x,LG_GD_17_x,LG_RTOT_17,AG_REP_17_,AG_DEM_17_,AG_TOT_17_
100,Adjacent to a district ruled unconstitutional,62758,-0.0088,-707,14669,79303,0.2337,0.4592,0.1189,0.5345,0.5408,0.3468,0.3286,0.4708,0.6716,0.5291,10616.55108,4577.875496,546,2454,12521.89805,1592,23138.44913,1924,15489,5839.91636,3933,17408,32901,17368.29218,15438.96653,32811.34327,3924.977598,1916.818757,4219.073519,2590.044666,1201.065912,769.2735029,680.2370558,9461.780606,11511.21209,11676.78567,23184.98093,4148.447745,827.0411057,4975.527264,1502.989104,1379.427998,885.8863578,3766.325036,12521.89805,10616.55108,23132.4323,2448.033708,1588.01329,541.8284984,4580.774697,1352.554993,1392.72987,907.1242772,3645.465609,12212.1652,10905.66945,23116.79861
27,Adjacent to a district ruled unconstitutional,61545,0.0098,788,9221,80798,0.1498,0.5195,0.1242,0.4915,0.4808,0.3867,0.3967,0.5235,0.6034,0.4765,17697.48904,7981.244728,976,3861,16302.06966,3038,33999.5587,3644,21964,9294.711619,5542,19995,41960,20160.69219,22331.22349,42503.45921,5615.396017,3679.336578,4269.908805,6477.975453,2586.225933,1626.47845,711.5200948,15672.07727,15513.89481,18196.37997,33702.2576,5185.840407,3172.848009,8357.820687,2831.468551,1807.801378,917.7127573,5557.2286,16302.06966,17697.48904,33991.8995,3926.984715,3072.232217,982.0277954,7975.704423,2529.738678,2201.724883,753.2848178,5486.424149,16516.02054,17472.81268,33983.01582
61,Adjacent to a district ruled unconstitutional,64302,0.0099,790,21806,80800,0.3391,0.3764,0.15,0.5742,0.6256,0.2803,0.2024,0.4021,0.7987,0.599,8604.046429,3241.57596,494,1891,14294.38216,923,22898.42859,1078,14620,5252.293194,4253,21778,36358,21545.80259,14482.49722,36027.18044,4199.793814,1054.117306,4490.454531,2062.110508,1608.435907,313.5676735,725.5525164,9205.242963,14083.4174,8780.843912,22863.97608,1575.964494,1778.840788,3355.385238,1625.457247,1701.011407,281.4338353,3607.154031,14294.38216,8604.046429,22900.75531,1855.293158,902.711608,483.571194,3231.889808,1271.332302,1721.291378,513.0059469,3502.43427,14240.36273,8648.737329,22891.3995
62,Adjacent to a district ruled unconstitutional,59209,-0.0098,-787,14212,79223,0.24,0.461,0.1367,0.5834,0.5391,0.2829,0.285,0.4584,0.7143,0.5429,10690.24049,3925.976591,545,2326,12605.88579,1128,23296.12629,1867,15062,6605.687126,4680,17838,32857,17798.81983,14911.01153,32674.98471,4721.442408,1882.139503,4319.592274,3163.331259,2082.486755,554.550039,640.9120919,10760.5565,12249.25717,10868.96924,23116.79611,2331.861982,1705.620588,4037.218943,1698.563465,1837.537701,399.4746434,3933.205537,12605.88579,10690.24049,23290.46956,2284.024958,1109.295156,532.6564775,3925.762098,1800.873564,1630.118489,468.6658426,3896.46486,12519.19119,10755.21563,23267.77661
68,Adjacent to a district ruled unconstitutional,66405,0.0064,516,7600,80526,0.1144,0.6055,0.1083,0.4837,0.3946,0.4132,0.4822,0.6365,0.5184,0.3639,21515.00912,9858.336877,1063,4749,13911.58727,4057,35426.59639,5743,26269,11954.64269,6174,15020,41272,15035.17743,26410.11798,41453.6453,6174.416414,5780.226274,3059.414049,6731.718748,1504.199057,2223.920148,417.9073696,13937.15937,13028.85069,22143.48926,35157.61114,6097.553033,4481.980134,10580.25549,3008.748837,1126.499998,576.3201898,4704.159557,13911.58727,21515.00912,35418.97145,4740.838547,4062.778004,1054.720326,9859.982995,2287.457801,1573.936831,749.9648071,4623.817583,13979.91256,21452.07907,35424.08657
69,Ruled unconstitutional as enacted,61393,0.0036,290,27033,80300,0.4403,0.7134,0.1377,0.5208,0.2867,0.342,0.3095,0.721,0.6917,0.2791,15809.79793,6687.168285,934,3533,6349.030321,2320,22158.82825,3134,22711,10011.01691,7004,8792,31501,8642.059962,22338.1948,30983.75517,6912.793194,3100.202744,1924.371144,1923.678236,1074.611316,466.8517366,337.7789898,5724.322887,6065.727328,15920.7751,21990.56406,3836.609142,3146.362075,6984.081862,1053.605507,917.8814258,259.8391712,2240.891512,6349.030321,15809.79793,22162.22109,3482.687289,2285.602707,918.8782884,6690.756315,957.9949626,1004.935961,241.6922405,2205.793405,6417.334452,15734.1091,22154.85384
70,Ruled unconstitutional as enacted,58824,-0.0054,-435,26013,79575,0.4422,0.7102,0.1553,0.5654,0.2889,0.2746,0.2349,0.7053,0.7639,0.2942,12811.0081,5263.409878,815,2967,5042.06747,1441,17853.07557,1995,19336,8499.997572,6487,8067,27416,7848.075118,19437.95531,27283.96655,6489.742135,2011.255438,1892.331631,1150.704812,898.9595562,189.1112425,299.7678841,4429.875126,4875.108939,12865.66614,17742.11153,2887.151886,2518.121319,5404.851151,742.2867328,834.6018306,158.4750045,1730.954991,5042.06747,12811.0081,17859.134,2980.727133,1454.358409,828.3243369,5263.342209,759.1298722,776.3837412,191.3050457,1722.848737,5050.112829,12789.69817,17841.68069
71,Ruled unconstitutional as enacted,65287,-0.0094,-753,36661,79257,0.5615,0.8824,0.1202,0.5487,0.1175,0.3304,0.4221,0.9012,0.5781,0.099,23169.16933,10241.90138,1247,5694,3059.128368,3429,26228.2977,6105,34052,14299.5404,8361,3740,37785,3657.268812,33649.55125,37293.49011,8280.721167,6018.819231,554.9927288,1425.727809,350.8258366,478.3751272,140.4849101,2950.406411,2648.91081,23406.2134,26071.47211,5813.104472,5021.103154,10832.66444,429.842744,232.5722835,112.0931029,776.5148534,3059.128368,23169.16933,26234.13058,5627.069301,3382.243385,1232.588695,10241.27521,382.6012092,261.0835671,120.108342,751.4588857,3040.023541,23132.67227,26182.13829
72,Adjacent to a district ruled unconstitutional,61120,-0.0065,-517,6602,79493,0.108,0.5158,0.124,0.4475,0.4837,0.4251,0.4109,0.5199,0.5869,0.4798,14278.68806,5249.019109,648,2339,13412.57489,2222,27691.26295,3162,18053,7713.717456,4516,16661,34726,16714.15407,18079.19568,34793.34975,4536.995509,3176.721947,3812.738026,5571.142126,2064.282491,1354.852407,568.5292547,13371.5443,12806.3169,14675.09311,27481.41001,3202.288126,2264.63675,5466.924876,3189.921765,1623.921645,505.1647748,5319.008185,13412.57489,14278.68806,27691.26295,2354.927764,2237.633827,656.4575186,5249.019109,2398.227552,2142.358656,715.8221807,5256.408389,13401.55023,14315.86455,27717.41478
73,Adjacent to a district ruled unconstitutional,61787,-0.0075,-601,21177,79409,0.3427,0.6555,0.122,0.5738,0.3442,0.297,0.2802,0.6609,0.7195,0.3386,16309.26156,6786.528788,840,3951,8536.523627,2045,24845.78518,2946,21729,10394.76783,7566,11133,32876,10949.51091,21439.08453,32387.59544,7482.29612,2912.471708,2524.731022,2796.346045,1341.383074,591.7583299,445.2933826,7701.511854,8116.231233,16542.93315,24660.16439,4127.052718,2841.681532,6968.73425,1846.704502,1315.277231,401.7659643,3563.747697,8536.523627,16309.26156,24849.78518,3914.790653,2024.699298,847.0388373,6784.528788,1467.596396,1490.099524,547.1216665,3505.817586,8457.701144,16369.95433,24826.65547
