,district_no,map,Clinton16,Trump16,HouseOfRep16Dem,HouseOfRep16Rep,Gov17_Northam,Gov17_Gillespie,LtGov17_Fairfax,LtGov17_Vogel,AtGen17_Herring,AtGen17_Adams,HouseOfDel17Dem,HouseOfDel17Rep,Sen18_Kaine,Sen18_Stewart
0,100,reform,0.4145571167052204,0.5424641980067807,0.5560843634283786,0.6537624520315911,0.46037081411052694,0.5309145450816036,0.4209630432798989,0.5790369567201011,0.4357090623974857,0.5642909376025143,0.3937399300382892,0.6062600699617107,0.476557805772348,0.5061480362178662
99,100,enacted,0.4486311137393228,0.5066579919832975,0.5143433900220596,0.6119933662957491,0.48829014929022385,0.5019304776797945,0.4538655923209359,0.5461344076790641,0.46668673526185794,0.5333132647381421,0.43930894605607806,0.5606910539439219,0.5100398206697959,0.47414069916047585
35,100,SM_court_order,0.4486311137393227,0.5066579919832976,0.51434339002206,0.6119933662957493,0.4882901492902239,0.5019304776797945,0.45386559232093593,0.546134407679064,0.46668673526185805,0.5333132647381419,0.4393089460560777,0.5606910539439223,0.5100398206697957,0.47414069916047585
1,27,reform,0.48006093954919876,0.45259384532096575,0.44082729952217264,0.5459021953582791,0.5184282857461818,0.46928117924519475,0.505320341957583,0.4946796580424169,0.49843979910025465,0.5015602008997454,0.4971658955772987,0.5028341044227013,0.5669853018854862,0.409858281119043
26,27,enacted,0.4579210831231298,0.48200092931344135,0.4521979710887382,0.5472829550631793,0.508289496822768,0.4775937337578135,0.5014957476724057,0.49850425232759427,0.49787335238011504,0.5021266476198849,0.49632297103343537,0.5036770289665646,0.5452557921016726,0.4344617657807412
22,27,SM_court_order,0.45792108312345864,0.4820009293131176,0.45219797108844395,0.5472829550628615,0.5082894968230434,0.4775937337575408,0.5014957476726861,0.4985042523273139,0.49787335238039315,0.5021266476196068,0.49632297103380196,0.503677028966198,0.5452557921019753,0.43446176578044315
54,55,enacted,0.3531230766810212,0.5971771749923152,0.6063286678077584,0.6396774771070588,0.38800572431565117,0.5977252953229474,0.37806261658200324,0.6219373834179969,0.38296476615746183,0.6170352338425382,0.375882076764927,0.6241179232350731,0.41856473427818525,0.5632165420801458
26,55,reform,0.3552261071856964,0.5950395929910817,0.6025364714477882,0.6407276141202739,0.39009799230739456,0.5960603458712689,0.3795963803666346,0.6204036196333654,0.3840125792649799,0.6159874207350201,0.37675096914176626,0.6232490308582338,0.42229666408127464,0.5595592895456495
30,55,SM_court_order,0.3531230766810216,0.5971771749923146,0.6063286678077578,0.6396774771070586,0.3880057243156516,0.597725295322947,0.3780626165820037,0.6219373834179963,0.3829647661574621,0.6170352338425378,0.37588207676492763,0.6241179232350723,0.4185647342781857,0.5632165420801454
60,61,enacted,0.3796758979565402,0.5850764967179876,0.586661796907339,0.6333816742743108,0.3825970423307669,0.6081197609370383,0.3754203610364282,0.6245796389635718,0.37989738120648897,0.620102618793511,0.25150957786591976,0.7484904221340802,0.41484930364355405,0.5698415517711861
2,61,reform,0.3878330326748414,0.577803044566627,0.5796450956970953,0.6258061498181079,0.38968342742992046,0.601202122909373,0.3828995875821261,0.617100412417874,0.38753793222462896,0.6124620677753712,0.25390453137417984,0.7460954686258201,0.4226070211247086,0.5620721289624102
31,61,SM_court_order,0.37967589795654016,0.5850764967179876,0.586661796907339,0.6333816742743108,0.3825970423307669,0.6081197609370383,0.37542036103642806,0.6245796389635719,0.37989738120648897,0.620102618793511,0.2515095778659199,0.74849042213408,0.41484930364355393,0.569841551771186
61,62,enacted,0.4546730330781197,0.5018960190284734,0.4673498488039384,0.5400119020177123,0.4946340071114944,0.49426965826124253,0.48744262882368306,0.5125573711763168,0.4923454384945023,0.5076545615054977,0.4996128641916254,0.5003871358083746,0.5317785244983586,0.45172067991349946
21,62,SM_court_order,0.458355736689656,0.49859659272315754,0.4776670088930612,0.5381377091895532,0.479359565233657,0.5093180459191284,0.4729202839964939,0.5270797160035062,0.4751982110766844,0.5248017889233155,0.47193146339145975,0.5280685366085403,0.5244052961166842,0.460203647328928
