,0,1,2
Fairfax 513 - SAINT ALBANS,8.0,11.0,
Fairfax 925 - OLD MILL,11.0,10.0,
Henry 304 - MOUNT OLIVET,9.0,5.0,
Henry 505 - DYERS STORE,5.0,9.0,
James City 101 - BERKELEY A,1.0,93.0,
James City 104- BERKELEY D,2.0,93.0,
James City 201 - JAMESTOWN A,2.0,93.0,
James City 202 - JAMESTOWN B,2.0,1.0,
James City 501 - ROBERTS A,2.0,93.0,
James City 502 - ROBERTS B,2.0,93.0,
James City 503 - ROBERTS C,2.0,93.0,
James City 504 - ROBERTS D,1.0,93.0,2.0
Prince William 110 - BUCKLAND MILLS,10.0,1.0,
Prince William 112 - BURKE-NICKENS,1.0,10.0,
Prince William 210 - PENN,1.0,11.0,
Prince William 312 - TRIANGLE ,1.0,11.0,
Prince William 609 - KING,1.0,11.0,
Spotsylvania 103 - TRAVELERS REST,1.0,7.0,
Spotsylvania 402 - PARKSIDE,7.0,1.0,
Spotsylvania 702 - BRENTS MILL,1.0,7.0,
Spotsylvania 703 - FAIRVIEW,7.0,1.0,
Spotsylvania 704 - GAYLE,1.0,7.0,
York 202 - KILN CREEK,93.0,2.0,
York 303 - EDGEHILL,2.0,93.0,
York 401 - HARWOODS MILL,2.0,93.0,
Chesapeake 003 - CAMELOT,3.0,77.0,
Chesapeake 005 - CRESTWOOD,3.0,77.0,
Chesapeake 008 - SOUTH NORFOLK RECREATION,3.0,77.0,
Chesapeake 010 - OSCAR SMITH,3.0,77.0,
Chesapeake 012 - GEORGETOWN,3.0,77.0,
Chesapeake 018 - INDIAN RIVER,3.0,77.0,
Chesapeake 019 - JOLLIFF,3.0,4.0,
Chesapeake 020 - E W CHITTUM,3.0,4.0,
Chesapeake 022 - NORFOLK HIGHLANDS,3.0,77.0,
Chesapeake 024 - OAKLETTE,3.0,77.0,
Chesapeake 025 - ST JULIANS,3.0,77.0,
Chesapeake 026 - JOHNSON PARK,3.0,77.0,
Chesapeake 028 - SUNRAY I,4.0,77.0,
Chesapeake 029 - TANGLEWOOD,3.0,77.0,
Chesapeake 030 - SOUTH NORFOLK,3.0,77.0,
Chesapeake 031 - CARVER SCHOOL,3.0,77.0,
Chesapeake 032 - PROVIDENCE,3.0,77.0,
Chesapeake 045 - SUNRAY II,3.0,4.0,77.0
Chesapeake 048 - JOLLIFF MIDDLE SCHOOL,4.0,77.0,
Chesapeake 055 - GEORGETOWN EAST,3.0,77.0,
Hampton 215 - TYLER,2.0,3.0,
Newport News 104 - MCINTOSH,3.0,93.0,
Newport News 106 - RESERVOIR,93.0,3.0,
Newport News 107 - RICHNECK,93.0,3.0,
Newport News 108 - LEE HALL,93.0,3.0,
Newport News 109 - WINDSOR,93.0,3.0,
Newport News 110 - GREENWOOD,3.0,93.0,
Newport News 201 - BLAND,3.0,93.0,
Newport News 211 - PALMER,93.0,3.0,
Newport News 218 - KILN CREEK,3.0,93.0,
Norfolk 101 - GRANBY,2.0,3.0,
Norfolk 104 - TITUSTOWN ,2.0,3.0,
Suffolk 301 - WHITE MARSH,4.0,77.0,
Suffolk 302 - JOHN F KENNEDY,3.0,4.0,77.0
Suffolk 403 - SOUTHSIDE,3.0,77.0,4.0
Suffolk 404 - BOOKER T WASHINGTON,4.0,3.0,77.0
Suffolk 504 - LAKE COHOON,3.0,4.0,
Suffolk 601 - LAKESIDE,77.0,4.0,
Suffolk 602 - OLDE TOWNE,4.0,3.0,77.0
Suffolk 605 - HOLLYWOOD,3.0,77.0,
Williamsburg 001 - STRYKER,2.0,93.0,
Williamsburg 002 - MATOAKA,2.0,93.0,
